id,year,title,venue,bibtype,gre_stem
2022.emnlp-main.232,2022,Life is a Circus and We are the Clowns: Automatically Finding Analogies between Situations and Processes,Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing,inproceedings,0
2022.emnlp-main.643,2022,Analogical Math Word Problems Solving with Enhanced Problem-Solution Association,Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing,inproceedings,1
2022.findings-acl.311,2022,E-KAR: A Benchmark for Rationalizing Natural Language Analogical Reasoning,Findings of the Association for Computational Linguistics: ACL 2022,inproceedings,1
2022.findings-emnlp.153,2022,Scientific and Creative Analogies in Pretrained Language Models,Findings of the Association for Computational Linguistics: EMNLP 2022,inproceedings,0
2022.findings-emnlp.289,2022,Probing Relational Knowledge in Language Models via Word Analogies,Findings of the Association for Computational Linguistics: EMNLP 2022,inproceedings,0
2022.inlg-main.25,2022,Analogy Generation by Prompting Large Language Models: A Case Study of InstructGPT,Proceedings of the 15th International Conference on Natural Language Generation,inproceedings,1
2022.lrec-1.449,2022,IceBATS: An Icelandic Adaptation of the Bigger Analogy Test Set,Proceedings of the Thirteenth Language Resources and Evaluation Conference,inproceedings,1
2022.sigmorphon-1.22,2022,OSU at SigMorphon 2022: Analogical Inflection With Rule Features,"Proceedings of the 19th SIGMORPHON Workshop on Computational Research in Phonetics, Phonology, and Morphology",inproceedings,0
2022.starsem-1.5,2022,AnaLog: Testing Analytical and Deductive Logic Learnability in Language Models,Proceedings of the 11th Joint Conference on Lexical and Computational Semantics,inproceedings,0
2023.acl-long.109,2023,In-Context Analogical Reasoning with Pre-Trained Language Models,Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),inproceedings,0
2023.acl-long.65,2023,Improving Continual Relation Extraction by Distinguishing Analogous Semantics,Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),inproceedings,0
2023.emnlp-main.1022,2023,Can language models learn analogical reasoning? Investigating training objectives and comparisons to human performance,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,inproceedings,1
2023.emnlp-main.1023,2023,"FAME: Flexible, Scalable Analogy Mappings Engine",Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,inproceedings,0
2023.emnlp-main.382,2023,Solving Hard Analogy Questions with Relation Embedding Chains,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,inproceedings,0
2023.emnlp-main.706,2023,StoryAnalogy: Deriving Story-level Analogies from Large Language Models to Unlock Analogical Understanding,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,inproceedings,1
2023.emnlp-main.811,2023,On Evaluation of Bangla Word Analogies,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,inproceedings,1
2023.findings-acl.218,2023,ANALOGICAL - A Novel Benchmark for Long Text Analogy Evaluation in Large Language Models,Findings of the Association for Computational Linguistics: ACL 2023,inproceedings,1
2023.findings-acl.705,2023,Learning by Analogy: Diverse Questions Generation in Math Word Problem,Findings of the Association for Computational Linguistics: ACL 2023,inproceedings,1
2023.findings-emnlp.160,2023,Beneath Surface Similarity: Large Language Models Make Reasonable Scientific Analogies after Structure Abduction,Findings of the Association for Computational Linguistics: EMNLP 2023,inproceedings,1
2023.ldk-1.13,2023,MEAN: Metaphoric Erroneous ANalogies dataset for PTLMs metaphor knowledge probing,"Proceedings of the 4th Conference on Language, Data and Knowledge",inproceedings,0
2023.ldk-1.42,2023,"Validation of the Bigger Analogy Test Set Translation into Croatian, Lithuanian and Slovak","Proceedings of the 4th Conference on Language, Data and Knowledge",inproceedings,0
2023.repl4nlp-1.14,2023,Contrastive Loss is All You Need to Recover Analogies as Parallel Lines,Proceedings of the 8th Workshop on Representation Learning for NLP (RepL4NLP 2023),inproceedings,0
2023.scil-1.4,2023,Analogy in Contact: Modeling Maltese Plural Inflection,Proceedings of the Society for Computation in Linguistics 2023,inproceedings,0
2023.starsem-1.25,2023,Mann`` is to ``Donna'' as「国王」is to Reine Adapting the Analogy Task for Multilingual and Contextual Embeddings,Proceedings of the 12th Joint Conference on Lexical and Computational Semantics (*SEM 2023),inproceedings,1
2024.acl-long.574,2024,ARAIDA: Analogical Reasoning-Augmented Interactive Data Annotation,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),inproceedings,1
2024.acl-long.68,2024,ANALOGYKB: Unlocking Analogical Reasoning of Language Models with A Million-scale Knowledge Base,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),inproceedings,1
2024.conll-1.28,2024,How Are Metaphors Processed by Language Models? The Case of Analogies,Proceedings of the 28th Conference on Computational Natural Language Learning,inproceedings,1
2024.eacl-long.103,2024,AnaDE1.0: A Novel Data Set for Benchmarking Analogy Detection and Extraction,Proceedings of the 18th Conference of the European Chapter of the Association for Computational Linguistics (Volume 1: Long Papers),inproceedings,1
2024.emnlp-main.346,2024,Boosting Scientific Concepts Understanding: Can Analogy from Teacher Models Empower Student Models?,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,inproceedings,1
2024.emnlp-main.725,2024,AnaloBench: Benchmarking the Identification of Abstract and Long-context Analogies,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,inproceedings,0
2024.findings-eacl.31,2024,On the Relationship between Sentence Analogy Identification and Sentence Structure Encoding in Large Language Models,Findings of the Association for Computational Linguistics: EACL 2024,inproceedings,0
2024.findings-emnlp.392,2024,From Generation to Selection: Findings of Converting Analogical Problem-Solving into Multiple-Choice Questions,Findings of the Association for Computational Linguistics: EMNLP 2024,inproceedings,1
2024.inlg-genchal.1,2024,Long-Form Analogy Evaluation Challenge,Proceedings of the 17th International Natural Language Generation Conference: Generation Challenges,inproceedings,1
2024.lrec-main.344,2024,Continued Pre-training on Sentence Analogies for Translation with Small Data,"Proceedings of the 2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation (LREC-COLING 2024)",inproceedings,1
2024.lrec-main.987,2024,Mind Your Neighbours: Leveraging Analogous Instances for Rhetorical Role Labeling for Legal Documents,"Proceedings of the 2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation (LREC-COLING 2024)",inproceedings,0
2024.naacl-long.329,2024,ParallelPARC: A Scalable Pipeline for Generating Natural-Language Analogies,Proceedings of the 2024 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),inproceedings,1
2024.propor-1.21,2024,BATS-PT: Assessing Portuguese Masked Language Models in Lexico-Semantic Analogy Solving and Relation Completion,Proceedings of the 16th International Conference on Computational Processing of Portuguese - Vol. 1,inproceedings,0
2024.propor-2.17,2024,Semantic Exploration of Textual Analogies for Advanced Plagiarism Detection,Proceedings of the 16th International Conference on Computational Processing of Portuguese - Vol. 2,inproceedings,0
2024.tacl-1.59,2024,ARN: Analogical Reasoning on Narratives,Transactions of the Association for Computational Linguistics,article,0
2025.acl-long.200,2025,Past Meets Present: Creating Historical Analogy with Large Language Models,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),inproceedings,1
2025.acl-long.231,2025,AnRe: Analogical Replay for Temporal Knowledge Graph Forecasting,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),inproceedings,1
2025.analogyangle-1.6,2025,HATS : Hindi Analogy Test Set for Evaluating Reasoning in Large Language Models,"Proceedings of the 2nd Workshop on Analogical Abstraction in Cognition, Perception, and Language (Analogy-Angle II)",inproceedings,1
2025.analogyangle-1.7,2025,Simulating Emotional Intelligence in LLMs through Behavioral Conditioning and Analogical Retrieval,"Proceedings of the 2nd Workshop on Analogical Abstraction in Cognition, Perception, and Language (Analogy-Angle II)",inproceedings,1
2025.analogyangle-1.9,2025,Testing Spatial Intuitions of Humans and Large Language and Multimodal Models in Analogies,"Proceedings of the 2nd Workshop on Analogical Abstraction in Cognition, Perception, and Language (Analogy-Angle II)",inproceedings,1
2025.coling-main.181,2025,Reasoning-Oriented and Analogy-Based Methods for Locating and Editing in Zero-Shot Event-Relational Reasoning,Proceedings of the 31st International Conference on Computational Linguistics,inproceedings,0
2025.coling-main.268,2025,KnowledgePrompts: Exploring the Abilities of Large Language Models to Solve Proportional Analogies via Knowledge-Enhanced Prompting,Proceedings of the 31st International Conference on Computational Linguistics,inproceedings,1
2025.coling-main.448,2025,"Automatic Extraction of Metaphoric Analogies from Literary Texts: Task Formulation, Dataset Construction, and Evaluation",Proceedings of the 31st International Conference on Computational Linguistics,inproceedings,1
