doi,type,year,source,title
10.18653/v1/2021.latechclfl-1.13,inproceedings,2021.0,"Proceedings of the 5th Joint SIGHUM Workshop on Computational Linguistics for Cultural Heritage, Social Sciences, Humanities and Literature",{BAHP}: Benchmark of Assessing Word Embeddings in Historical {P}ortuguese
,inproceedings,2021.0,Proceedings of the Third Workshop on Beyond Vision and LANguage: inTEgrating Real-world kNowledge (LANTERN),Exploiting Image{--}Text Synergy for Contextual Image Captioning
10.18653/v1/2021.findings-emnlp.68,inproceedings,2021.0,Findings of the Association for Computational Linguistics: EMNLP 2021,Recall and Learn: A Memory-augmented Solver for Math Word Problems
10.18653/v1/2021.findings-emnlp.171,inproceedings,2021.0,Findings of the Association for Computational Linguistics: EMNLP 2021,"Retrieval, Analogy, and Composition: A framework for Compositional Generalization in Image Captioning"
10.18653/v1/2021.emnlp-main.71,inproceedings,2021.0,Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,Predicting emergent linguistic compositions through time: Syntactic frame extension via multimodal chaining
10.18653/v1/2021.emnlp-main.649,inproceedings,2021.0,Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,Locke`s Holiday: Belief Bias in Machine Reading
10.18653/v1/2021.emnlp-main.712,inproceedings,2021.0,Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,Distilling Relation Embeddings from Pretrained Language Models
10.18653/v1/2021.ecnlp-1.8,inproceedings,2021.0,Proceedings of the 4th Workshop on e-Commerce and NLP,{\textquotedblleft}Are you calling for the vaporizer you ordered?{\textquotedblright} Combining Search and Prediction to Identify Orders in Contact Centers
10.18653/v1/2021.conll-1.26,inproceedings,2021.0,Proceedings of the 25th Conference on Computational Natural Language Learning,Exploring Metaphoric Paraphrase Generation
10.18653/v1/2021.acl-long.139,inproceedings,2021.0,Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing (Volume 1: Long Papers),A Systematic Investigation of {KB}-Text Embedding Alignment at Scale
10.18653/v1/2021.acl-long.185,inproceedings,2021.0,Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing (Volume 1: Long Papers),Style is {NOT} a single variable: Case Studies for Cross-Stylistic Language Understanding
10.18653/v1/2021.acl-long.327,inproceedings,2021.0,Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing (Volume 1: Long Papers),Verb Metaphor Detection via Contextual Relation Learning
10.18653/v1/2021.acl-long.524,inproceedings,2021.0,Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing (Volume 1: Long Papers),Metaphor Generation with Conceptual Mappings
10.1162/tacl_a_00307,article,2020.0,Transactions of the Association for Computational Linguistics,Decoding Brain Activity Associated with Literal and Metaphoric Sentence Comprehension Using Distributional Semantic Models
,inproceedings,2020.0,Proceedings of the 1st Joint Workshop on Spoken Language Technologies for Under-resourced languages (SLTU) and Collaboration and Computing for Under-Resourced Languages (CCURL),{M}ulti{S}eg: Parallel Data and Subword Information for Learning Bilingual Embeddings in Low Resource Scenarios
,inproceedings,2020.0,Proceedings of the Twelfth Language Resources and Evaluation Conference,Evaluating Language Tools for Fifteen {EU}-official Under-resourced Languages
,inproceedings,2020.0,Proceedings of the Twelfth Language Resources and Evaluation Conference,Word Embedding Evaluation for {S}inhala
,inproceedings,2020.0,Proceedings of the Twelfth Language Resources and Evaluation Conference,Evaluation of {G}reek Word Embeddings
,inproceedings,2020.0,Proceedings of the Twelfth Language Resources and Evaluation Conference,Multilingual Culture-Independent Word Analogy Datasets
