doi,type,year,source,title
10.1145/2078827.2078829,inproceedings,2011.0,Proceedings of the Seventh Symposium on Usable Privacy and Security,"A brick wall, a locked door, and a bandit: a physical security metaphor for firewall warnings"
10.1145/2897356.2897360,article,2016.0,SIGMETRICS Perform. Eval. Rev.,DoKnowMe: Towards a Domain Knowledge-driven Methodology for Performance Evaluation
10.1145/503720.503727,inproceedings,1992.0,Proceedings of the 30th Annual ACM Southeast Regional Conference,Generating analogical natural language object descriptions
10.1145/2408736.2408744,article,2012.0,SIGKDD Explor. Newsl.,Cross domain similarity mining: research issues and potential applications including supporting research by analogy
10.1145/1404880.1404887,article,2008.0,ACM Trans. Multimedia Comput. Commun. Appl.,Constructing visual phrases for effective and efficient object-based image retrieval
10.1162/089120100561674,article,2000.0,Comput. Linguist.,A multistrategy approach to improving pronunciation by analogy
10.1145/2493190.2494441,inproceedings,2013.0,Proceedings of the 15th International Conference on Human-Computer Interaction with Mobile Devices and Services,A study of developing auditory icons for mobile phone service applications in taiwan region
10.1145/1180639.1180664,inproceedings,2006.0,Proceedings of the 14th ACM International Conference on Multimedia,Effective and efficient object-based image retrieval using visual phrases
10.1145/3581783.3613822,inproceedings,2023.0,Proceedings of the 31st ACM International Conference on Multimedia,Deconfounded Multimodal Learning for Spatio-temporal Video Grounding
10.1145/3173574.3173935,inproceedings,2018.0,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,How “Wide Walls” Can Increase Engagement: Evidence From a Natural Experiment in Scratch
10.1145/2837185.2837232,inproceedings,2015.0,Proceedings of the 17th International Conference on Information Integration and Web-Based Applications    amp; Services,Automatic generation of Japanese traditional funny scenario from web content based on web intelligence
10.1145/2499149.2499167,inproceedings,2013.0,Proceedings of the Biannual Conference of the Italian Chapter of SIGCHI,Designing and experimenting a web3d application for increasing the environmental awareness
10.1145/564526.564557,inproceedings,2001.0,Proceedings of the 2001 EC/NSF Workshop on Universal Accessibility of Ubiquitous Computing: Providing for the Elderly,Assessment of metaphor efficacy in user interfaces for the elderly: a tentative model for enhancing accessibility
,inproceedings,2012.0,Proceedings of the ACL 2012 System Demonstrations,Specifying viewpoint and information need with affective metaphors: a system demonstration of the Metaphor Magnet web app/service
10.1145/2484028.2484170,inproceedings,2013.0,Proceedings of the 36th International ACM SIGIR Conference on Research and Development in Information Retrieval,A document rating system for preference judgements
10.1145/506309.506313,article,2002.0,ACM Trans. Inf. Syst.,Theory of keyblock-based image retrieval
10.1145/1923947.1923955,inproceedings,2010.0,Proceedings of the 2010 Conference of the Center for Advanced Studies on Collaborative Research,Sequence diagram to colored Petri nets transformation testing: an immune system metaphor
10.1145/3679318.3685400,inproceedings,2024.0,Proceedings of the 13th Nordic Conference on Human-Computer Interaction,Evaluating Text Placement in Information-Rich Virtual Environments: A User Study on Controller-Anchored Text
10.1145/1056663.1056733,article,1982.0,SIGART Bull.,"Propositional &amp; analogical generation of coordinated verbal, visual &amp; musical texts: U. of Wisconsin"
10.1145/3666025.3699428,inproceedings,2024.0,Proceedings of the 22nd ACM Conference on Embedded Networked Sensor Systems,Poster Abstract: Tasking Heterogeneous Sensor Systems with LLMs
10.1145/1643928.1643965,inproceedings,2009.0,Proceedings of the 16th ACM Symposium on Virtual Reality Software and Technology,The magic barrier tape: a novel metaphor for infinite navigation in virtual worlds with a restricted walking workspace
10.14236/ewic/BCSHCI2024.17,inproceedings,2025.0,Proceedings of the 37th International BCS Human-Computer Interaction Conference,Towards a Framework for Designing Connected Toys
10.1145/2069618.2069659,inproceedings,2011.0,Proceedings of the 8th ACM Conference on Creativity and Cognition,Design and evaluation of creative and emotional motion
10.1145/359038.359042,article,1980.0,Commun. ACM,Learning and reasoning by analogy
10.1145/2307096.2307110,inproceedings,2012.0,Proceedings of the 11th International Conference on Interaction Design and Children,Sciensations: making sense of science by designing with sensors
10.1145/3632634.3655849,inproceedings,2024.0,Proceedings of the 2024 Computers and People Research Conference,A Human-factors Approach for Evaluating AI-generated Images
10.1145/2662253.2662282,inproceedings,2014.0,Proceedings of the XV International Conference on Human Computer Interaction,"Evaluation of Disambiguation Mechanisms of Object-Based Selection in Virtual Environment: Which Performances and Features to Support ""Pick Out""?"
10.1145/1280720.1280740,inproceedings,2007.0,ACM SIGGRAPH 2007 Posters,Leather texture generation considering sulci flow
10.1145/1013115.1013124,inproceedings,2004.0,"Proceedings of the 5th Conference on Designing Interactive Systems: Processes, Practices, Methods, and Techniques",Making tea: iterative design through analogy
,inproceedings,2005.0,Proceedings of the 2005 Asia-Pacific Symposium on Information Visualisation - Volume 45,A user-based evaluation of skeletal animation techniques in graph interaction
10.1145/503376.503428,inproceedings,2002.0,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Gestural and audio metaphors as a means of control for mobile devices
10.1145/937549.937553,article,2003.0,ACM Trans. Comput.-Hum. Interact.,Automatic generation of intelligent diagram editors
10.1145/3628516.3655785,inproceedings,2024.0,Proceedings of the 23rd Annual ACM Interaction Design and Children Conference,Sense-O-Nary: Exploring Children's Crossmodal Metaphors Through Playful Crossmodal Interactions
10.1145/584792.584881,inproceedings,2002.0,Proceedings of the Eleventh International Conference on Information and Knowledge Management,Condorcet fusion for improved retrieval
10.1109/ESEM.2017.46,inproceedings,2017.0,Proceedings of the 11th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,Which version should be released to app store?
10.1145/2287696.2287706,article,2012.0,J. Emerg. Technol. Comput. Syst.,Performance evaluation and design trade-offs for wireless network-on-chip architectures
10.1145/3625008.3625023,inproceedings,2024.0,Proceedings of the 25th Symposium on Virtual and Augmented Reality,Virtual MultiView Panels for Distant Object Interaction and Navigation in Virtual Reality
10.1145/2069618.2069651,inproceedings,2011.0,Proceedings of the 8th ACM Conference on Creativity and Cognition,Artists &amp; designers: an experiment in data visualization
10.1145/1498915.1498924,article,2009.0,ACM Trans. Sen. Netw.,Analytic evaluation of target detection in heterogeneous wireless sensor networks
10.1145/568727.568728,article,2002.0,ACM Trans. Inf. Syst.,Improving retrieval feedback with multiple term-ranking function combination
10.1162/089120105775299122,article,2005.0,Comput. Linguist.,Co-occurrence Retrieval: A Flexible Framework for Lexical Distributional Similarity
